playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
3,Din Shagna Da,20rwogC6aE369YsxFb5aRp,Jasleen Royal,0.802,0.583,215305,0.452,0.00632,11,0.143,-10.459,0,0.026,79.999,0.327
3,Tu Hi Re - Bombay / Soundtrack Version,6nwRC0UkS1MdOOMjcJsrbX,Hariharan,0.158,0.445,435493,0.188,0,3,0.0958,-13.885,1,0.0336,99.718,0.357
3,Zingaat,5raWEZXYAapq6Qw1GIEIkU,Ajay-Atul,0.359,0.834,226502,0.788,0.27,6,0.396,-7.294,0,0.213,130.032,0.705
3,O O Jaane Jaana,7fl15uWBpbKrzrmEm48ZyP,Kamaal Khan,0.122,0.781,345240,0.766,0.000104,7,0.121,-8.728,1,0.0564,106.193,0.798
3,Gallan Goodiyaan,7hNYvX0qAKrxtVr1jGDmvR,Farhan Akhtar,0.134,0.83,296500,0.858,1.72E-05,6,0.0567,-3.18,0,0.0554,119.974,0.949
3,Bahara,1gwO79MdYdumgIjxq8eCxB,Shreya Ghoshal,0.0718,0.456,325707,0.739,7.24E-06,5,0.134,-6.733,1,0.0402,85.773,0.72
3,"Sooraj Dooba Hain (From ""Roy"")",5HcBFhFQEtqKrsRkr95XYu,Arijit Singh,0.172,0.616,264854,0.75,0,2,0.137,-4.629,1,0.0594,128.051,0.434
3,Abhi Kuch Dino Se,1QufGJee7k9v4Cfp2NxXbv,Mohit Chauhan,0.654,0.704,285687,0.695,0,4,0.103,-5.518,1,0.119,92.02,0.683
3,"Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,Arijit Singh,0.0744,0.695,302935,0.727,0.000175,6,0.533,-6.274,0,0.0323,118.034,0.864
3,Subah Subah,3kHDA43cBTx63KEZm7M8rq,Arijit Singh,0.308,0.538,277292,0.646,0,3,0.196,-7.187,1,0.05,128.045,0.288
3,Phir Milenge Chalte Chalte,00slEv0AYGnW85H84XsmGz,Sonu Nigam,0.178,0.778,394162,0.737,6.83E-06,0,0.0632,-7.073,1,0.195,125.031,0.9
3,Bheegi Si Bhaagi Si,665b3Nss3OQmhTUdB5hBXw,Mohit Chauhan,0.361,0.564,278093,0.867,0,8,0.262,-6.21,1,0.121,88.919,0.815
3,Teri Jhuki Nazar,3beYHVCFKzbdNjJqjKeYpM,Shafqat Amanat Ali,0.707,0.386,279187,0.815,0,11,0.159,-3.395,1,0.0417,124.293,0.349
3,Agar Tum Saath Ho,70W29IwaPMRo86tCan6tqI,Arijit Singh,0.551,0.558,341185,0.521,0.000212,3,0.189,-8.798,1,0.0333,122.925,0.409
3,Jab Koi Baat - Recreated,43GfQ1SC17rBWiHkOtdwK8,Atif Aslam,0.47,0.667,192229,0.621,4.15E-05,5,0.13,-5.697,1,0.0271,106.032,0.451
3,Pehli Dafa,4Tkb7zsDmsawB7S5TpKQV1,Atif Aslam,0.844,0.679,298771,0.537,3.34E-06,4,0.108,-7.843,1,0.0322,111.979,0.481
3,Mere Bina,4rSmmC6OYmjVOYxr8ruVWN,Pritam,0.653,0.495,289560,0.768,0,2,0.152,-5.7,1,0.0545,79.909,0.489
3,Tu Hi Mera,1CVqr5LImdmJ1Upt4z08Pm,Shafqat Amanat Ali,0.544,0.621,272973,0.859,0,11,0.11,-4.673,1,0.103,90.047,0.873
3,"Raabta (From ""Agent Vinod"")",6tzckBcK66LzeSA1Opnv35,Arijit Singh,0.7,0.657,243578,0.581,1.75E-05,0,0.116,-8.108,1,0.0298,118.038,0.32
3,Allah Ke Bande,6Y1cH3RzDCMWGQtOS0HmP8,Kailash Kher,0.795,0.543,246883,0.44,0,7,0.224,-8.595,1,0.0597,125.53,0.726
3,"Jeena Jeena (From ""Badlapur"")",6h09y5UH6sDRERJALlaJPi,Atif Aslam,0.783,0.676,228969,0.319,0,5,0.117,-9.201,1,0.0279,105.002,0.565
3,Roke Na Ruke Naina,2k7RoJQR0mi8WVWK0Och93,Arijit Singh,0.722,0.503,278402,0.381,1.15E-05,9,0.154,-9.31,1,0.0283,80.658,0.263
3,Soch Na Sake,6mTvwBzWTGDOVeCNQEqtOE,Arijit Singh,0.597,0.505,281323,0.667,0,9,0.213,-5.797,1,0.0323,151.728,0.516
3,Pani Da Rang (Male),44gvSP8Kpx6P7VSRHL9dN8,Ayushmann Khurrana,0.172,0.672,239333,0.67,0.000198,4,0.197,-7.257,0,0.0315,98.032,0.533
3,Samjhawan,0rk2X5TAhraBC5aCIXK2Rq,Arijit Singh,0.293,0.65,269185,0.482,0,4,0.0811,-8.667,1,0.0281,106.994,0.517
3,Tere Bina,4FeczSomVWVyU4FW7xDeAI,A.R. Rahman,0.278,0.744,309640,0.7,0.000155,2,0.068,-7.663,1,0.0376,144.043,0.866
3,Saibo,6udC4b4jOSnHb9ItnXgKLR,Shreya Ghoshal,0.736,0.619,195253,0.428,1.27E-05,2,0.136,-7.867,1,0.0281,90.056,0.542
3,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,Mohit Chauhan,0.328,0.609,321225,0.538,0,6,0.125,-7.842,1,0.0273,130.007,0.608
3,Enna Sona,6bdpj89aYEBjhpsenXAsmO,Arijit Singh,0.635,0.717,213632,0.416,1.43E-06,7,0.0976,-9.875,0,0.0303,100.026,0.381
4,Pani Da Rang (Male),44gvSP8Kpx6P7VSRHL9dN8,Ayushmann Khurrana,0.172,0.672,239333,0.67,0.000198,4,0.197,-7.257,0,0.0315,98.032,0.533
4,Samjhawan,0rk2X5TAhraBC5aCIXK2Rq,Arijit Singh,0.293,0.65,269185,0.482,0,4,0.0811,-8.667,1,0.0281,106.994,0.517
4,Kabira,4bD9z9qa4qg9BhryvYWB7c,Rekha Bhardwaj,0.481,0.59,223460,0.555,0,2,0.192,-6.852,1,0.0271,84.032,0.191
4,Tere Bina,4FeczSomVWVyU4FW7xDeAI,A.R. Rahman,0.278,0.744,309640,0.7,0.000155,2,0.068,-7.663,1,0.0376,144.043,0.866
4,Bin Tere,3bZPdEskcnMdepwCaDSJRl,Shafqat Amanat Ali,0.42,0.585,330360,0.698,3.59E-06,9,0.363,-6.261,1,0.0392,139.831,0.621
4,"Galliyan (From ""Ek Villain"")",517bz7zkWELmyL4eZzJ5R9,Ankit Tiwari,0.445,0.552,340400,0.75,7.37E-05,10,0.291,-5.215,0,0.039,89.999,0.4
4,Saibo,6udC4b4jOSnHb9ItnXgKLR,Shreya Ghoshal,0.736,0.619,195253,0.428,1.27E-05,2,0.136,-7.867,1,0.0281,90.056,0.542
4,Abhi Mujh Mein Kahin,73y649QhnXdcm6fRdvfraO,Sonu Nigam,0.755,0.334,364787,0.387,3.94E-05,2,0.113,-9.483,1,0.0332,129.959,0.42
